0:2:2:2:48	Leaf terminal cluster 0:2:2:2:48	Leaf terminal cluster 0:2:2:2:48
0:360	Leaf terminal cluster 0:360	Leaf terminal cluster 0:360
0:2:2:4	Leaf terminal cluster 0:2:2:4	Leaf terminal cluster 0:2:2:4
0:1:9:6	Leaf terminal cluster 0:1:9:6	Leaf terminal cluster 0:1:9:6
0:2:2:1:1:12	Leaf terminal cluster 0:2:2:1:1:12	Leaf terminal cluster 0:2:2:1:1:12
0:2:2:13:8:2	Leaf terminal cluster 0:2:2:13:8:2	Leaf terminal cluster 0:2:2:13:8:2
0:2:2:9:4:3	Leaf terminal cluster 0:2:2:9:4:3	Leaf terminal cluster 0:2:2:9:4:3
0:392	Leaf terminal cluster 0:392	Leaf terminal cluster 0:392
0:2:1:2:5	Leaf terminal cluster 0:2:1:2:5	Leaf terminal cluster 0:2:1:2:5
0:1:1:164	Leaf terminal cluster 0:1:1:164	Leaf terminal cluster 0:1:1:164
0:398	Leaf terminal cluster 0:398	Leaf terminal cluster 0:398
0:1:2:72	Leaf terminal cluster 0:1:2:72	Leaf terminal cluster 0:1:2:72
0:1:2:18	Leaf terminal cluster 0:1:2:18	Leaf terminal cluster 0:1:2:18
0:1:3:119	Leaf terminal cluster 0:1:3:119	Leaf terminal cluster 0:1:3:119
0:1:4:56	Leaf terminal cluster 0:1:4:56	Leaf terminal cluster 0:1:4:56
0:1:4:42	Leaf terminal cluster 0:1:4:42	Leaf terminal cluster 0:1:4:42
0:2:2:14:4:1	Leaf terminal cluster 0:2:2:14:4:1	Leaf terminal cluster 0:2:2:14:4:1
0:2:2:2:38:2	Leaf terminal cluster 0:2:2:2:38:2	Leaf terminal cluster 0:2:2:2:38:2
0:2:2:10:1	Leaf terminal cluster 0:2:2:10:1	Leaf terminal cluster 0:2:2:10:1
0:2:2:1:1:31	Leaf terminal cluster 0:2:2:1:1:31	Leaf terminal cluster 0:2:2:1:1:31
0:1:2:24	Leaf terminal cluster 0:1:2:24	Leaf terminal cluster 0:1:2:24
0:1:1:26	Leaf terminal cluster 0:1:1:26	Leaf terminal cluster 0:1:1:26
0:1:3:10	Leaf terminal cluster 0:1:3:10	Leaf terminal cluster 0:1:3:10
0:1:1:3:24	Leaf terminal cluster 0:1:1:3:24	Leaf terminal cluster 0:1:1:3:24
0:1:5:74	Leaf terminal cluster 0:1:5:74	Leaf terminal cluster 0:1:5:74
0:2:1:2:28	Leaf terminal cluster 0:2:1:2:28	Leaf terminal cluster 0:2:1:2:28
0:2:2:1:1:54	Leaf terminal cluster 0:2:2:1:1:54	Leaf terminal cluster 0:2:2:1:1:54
0:1:2:86	Leaf terminal cluster 0:1:2:86	Leaf terminal cluster 0:1:2:86
0:2:1:1:105	Leaf terminal cluster 0:2:1:1:105	Leaf terminal cluster 0:2:1:1:105
0:2:1:2:43	Leaf terminal cluster 0:2:1:2:43	Leaf terminal cluster 0:2:1:2:43
0:1:1:79	Leaf terminal cluster 0:1:1:79	Leaf terminal cluster 0:1:1:79
0:2:1:1:205	Leaf terminal cluster 0:2:1:1:205	Leaf terminal cluster 0:2:1:1:205
0:1:2:26	Leaf terminal cluster 0:1:2:26	Leaf terminal cluster 0:1:2:26
0:2:2:12:20	Leaf terminal cluster 0:2:2:12:20	Leaf terminal cluster 0:2:2:12:20
0:1:6:51	Leaf terminal cluster 0:1:6:51	Leaf terminal cluster 0:1:6:51
0:2:2:20:2	Leaf terminal cluster 0:2:2:20:2	Leaf terminal cluster 0:2:2:20:2
0:1:5:87	Leaf terminal cluster 0:1:5:87	Leaf terminal cluster 0:1:5:87
0:34	Leaf terminal cluster 0:34	Leaf terminal cluster 0:34
0:1:2:113	Leaf terminal cluster 0:1:2:113	Leaf terminal cluster 0:1:2:113
0:2:2:10:6	Leaf terminal cluster 0:2:2:10:6	Leaf terminal cluster 0:2:2:10:6
0:2:1:2:21	Leaf terminal cluster 0:2:1:2:21	Leaf terminal cluster 0:2:1:2:21
0:2:1:1:148	Leaf terminal cluster 0:2:1:1:148	Leaf terminal cluster 0:2:1:1:148
0:1:8:2:3	Leaf terminal cluster 0:1:8:2:3	Leaf terminal cluster 0:1:8:2:3
0:2:2:8:6	Leaf terminal cluster 0:2:2:8:6	Leaf terminal cluster 0:2:2:8:6
0:342	Leaf terminal cluster 0:342	Leaf terminal cluster 0:342
